Date,SPY
2008-01-28,-0.13114900090479076
2008-01-29,-0.12684471225042226
2008-01-30,-0.1332691442309426
2008-01-31,-0.1174650990579873
2008-02-01,-0.1032671961058318
2008-02-04,-0.11457398829947674
2008-02-05,-0.13828032986426608
2008-02-06,-0.14521896830415604
2008-02-07,-0.13956564065867272
2008-02-08,-0.14509055359199197
2008-02-11,-0.14072212603288048
2008-02-12,-0.13275534847960802
2008-02-13,-0.12388953103850808
2008-02-14,-0.1315989315567394
2008-02-15,-0.13179141672230743
2008-02-19,-0.12935064732377977
2008-02-20,-0.1267807102483577
2008-02-21,-0.1340403170173189
2008-02-22,-0.12870816305492405
2008-02-25,-0.11772213383633312
2008-02-26,-0.11110507978756645
2008-02-27,-0.11200432502941127
2008-02-28,-0.12067731504824764
2008-02-29,-0.140272126929593
